id	estado_id	cidade_id	bairro_id	IFNULL(cep, '')	IFNULL(logradouro, '')	IFNULL(complemento, '')	IFNULL(numero, '')	IFNULL(latitude, '')	IFNULL(longitude, '')
31	1	1	173	78075-860	Rua das Gralhas	QUADRA11 LOTE 07	20		
32	1	1	4	78050-030	Avenida Hisotriador Rubens de Mendonça		2554		
33	1	1	26		Rua Dr. Santo Scaravelli		637		
34	1	1	20		Rua Montes Claros		52		
35	1	1	8		Não informado		SN		
36	1	1	35		Rua Américo Salgado		727		
37	1	1	155	78080-070	Rua Nossa Senhora da Guia		312/314		
38	1	1	68		Av. República do Líbano		2255		
39	1	1	3		AVENIDA BRASÍLIA,	ESQ. COM RUA LA PAZ	SN		
40	1	1	8		teste	teste	teste		
41	1	1	21		Avenida Isaac Póvoas	401	1177		
42	1	1	44		Avenida Oátomo Canavarros		1077		
43	1	1	16	78043-409	Avenida Senador Filinto Müller		1748		
44	15	11	162	04544-051	Rua Ministro Jesuíno Cardoso	10° andar - sala 102	633		
45	1	1	36		Av. Antártica	CEP: 78040-500	1840		
46	1	1	2	78043-375	Avenida Miguel Sutil	de 6061 a 8343 - lado ímpar	8061		
47	1	1	37		Rua dos lírios	37	205		
48	1	1	21		Avenida Isaac Póvoa	1001	1177		
49	1	1	21		Rua 12 de Outubro		228		
50	1	1	60		Rua Torino, Quadra: 07, Lote: 45	CEP 78060-830	155		
51	13	5	102		Rua 1101, Sala 71, Andar 7º, Edifício Camboriú Business Center		nº 60		
52	1	1	73		Rua Gregório de Matos Guerra	Sala 01	nº 190		
53	1	1	26	78048-005	Rua Mistral	salas 503 e 504	09		
54	1	7	106		Avenida São João, Sala 01, Centro		305		
55	13	5	107		Edifício Dolce Vitta, Avenida Brasil, 2260		2260		
56	1	NULL	NULL		Não informado		SN		
57	14	8	109		Avenida 136, Edifício New York Square	16 andar	797		
58	13	5	107		Avenida Brasil, 3223, Esquina com rua 3300		SN		
59	13	10	111		Rua Koesa		142		
60	13	5	112		Avenida do Estado, Casa Hall Shopping	Loja 29	4770		
61	13	9	113		rua 294		294		
62	15	11	114		R Hungria	3° andar	1400		
63	1	2	120	78110-002	Av. Tiradentes	Chapéu do Sol	1		
64	1	13	168	78840-000	Avenida Santa Maria	Central de Vendas Buritis Prime, bairro residencial Buritis	1099		
65	13	14	119		Rua Raynerio Krieger esquina com rua José Roberto Otto		182		
66	1	15	121		AV ROTARY INTERNACIONAL	sala 3	670		
67	14	8	129		Avenida T-63, Edifício New World Concept	6° andar	1296		
68	1	1	56		Av. Historiador Rubens de Mendonça	Salas 201-203	2368		
69	17	16	130		Rua Urucânia		597		
70	1	1	1		Avenida Santo Antonio		178	-15.625764580802172	-56.05943977832794
71	1	1	2		Rua Cursino do Amarante			-0	-0
72	1	1	2		Rua Cursino do Amaral		Não inform	-15.58485486556234	-56.1086905002594
73	1	1	17		Avenida Senador Filinto Miller, esquina com a Rua Américo Salgado		Não inform	-15.582266088171223	-56.10122859477997
74	1	1	2		Rua João Bento		Não inform	-15.584630080385526	-56.11038689942853
75	1	1	44		Avenida Brasil		269	-15.567311514230823	-56.05671465396881
76	1	1	18		Avenida da Antarctica		Não inform	-15.583263365560002	-56.11782610416412
77	1	1	38		Rua Nossa Senhora da Santa Marta, proximo ao Parque Mãe Bonifácia		Não inform	-15.574365206604257	-56.104785203933716
78	1	1	56		Atrás da Avenida do CPA, Shopping Pantanal, Entrada do Terra Nova		Não inform	-15.584017779435804	-56.077609062194824
79	1	1	4	78050-242	Avenida F		Não inform	-15.583612689786657	-56.07695922897491
80	1	1	158	78005-235	Rua Corsino do Amarante		72	-15.590923080951308	-56.098231264561086
81	1	1	63		Avenida Tancredo Neves (antiga escolinha do gaucho de futebol)		Não inform	-15.614564045414468	-56.07525944709778
82	1	1	2		Rua General Zenóbio da Costa		Não inform	-15.5868287218121	-56.11088991165161
83	1	1	3		Rua Buenos Aires		Não inform	-15.607124237163757	-56.077061891555786
84	1	1	3		Avenida Haiti		Não inform	-15.610864841162596	-56.07541769742966
85	1	1	4		Avenida do CPA, Contorno Leste		Não inform	-15.578085738053268	-56.067599058151245
86	1	1	56		Avenida do CPA, Contorno Leste		Não inform	-15.57703159431369	-56.068360805511475
87	1	1	77		Avenida Beira Rio		Não inform	-15.626678988623517	-56.082297563552856
88	1	1	6		Rua Coronel Barros, esquina com a Avenida Ipiranga		Não inform	-15.598247779563937	-56.107016801834106
89	1	1	34		Avenida José Feliciano de Figueiredo, entre a Avenida Ipiranga e a Comandante Costa		200	-15.607555650083288	-56.11232489347458
90	1	1	34		Rua José Feliciano de Figueiredo		83	-15.607981895489841	-56.113078594207764
91	1	1	34		Avenida José Feliciano de Figueiredo		84	-15.608446889468524	-56.11287474632263
92	1	1	54		Rua Pedro Fernandes		Não inform	-15.62169360831403	-56.06167674064636
93	1	1	78		Rua das Brisas		Não inform	-15.567208161628221	-56.089319586753845
94	1	1	3		Avenida Arquimedes Pereira Lima		Não inform	-15.601482202647354	-56.069862842559814
95	1	1	9		Rua C		Não inform	-15.589249511759305	-56.07304930686951
96	1	1	6		Avenida Senador Metello ( entre a Avenida Ipiranga e a São Sebastião)		Não inform	-15.602515553908906	-56.11191987991333
97	1	1	2		Rua General Irineu de Souza		Não inform	-15.584896203060457	-56.110573410987854
98	1	1	26	78048-080	Rua Atenas	(Lot Rodoviária Parque)	Não inform	-15.576371117702811	-56.08980006427917
99	1	1	8	78048-832	Rua I	(Lot Prq Eldorado)	361	-15.576327692070548	-56.07607937577973
100	1	1	18		Avenida Antartica, proximo ao tervo do santa rosa.		Não inform	-15.584495745697442	-56.116039752960205
101	1	1	63	78070-015	Rua Desembargador Milton Figueiredo Ferreira Mendes		85	-15.615271622772248	-56.07473982753908
102	1	1	6		Avenida São Sebastião		Não inform	-15.59755542039508	-56.10837936401367
103	1	1	3		Região do Jd. das Américas		Não inform	-15.607157820237967	-56.06987625360489
104	1	1	3		Rua Buenos Aires		Não inform	-15.608927382138953	-56.074615716934204
105	1	1	16		Avenida Estevão de Mendonça		1295	-15.587004404433386	-56.10311150550842
106	1	1	7		Rua Trigo de Loureiro		549	-15.585175230955128	-56.08493685722351
107	1	1	65		Rua Garcia Neto (Entre a rua Rui Barbosa e Rua São Francisco)		Não inform	-15.613373177587135	-56.07804894447327
108	1	1	20		Avenida Vereador Mario Palma		125	-15.582384934953497	-56.112048625946045
109	1	1	9		Não informado		Não inform	-15.58769163206713	-56.07519507408142
110	1	1	63		Rua Luiz Antônio Figueiredo		135	-15.618942556363384	-56.072247326374054
111	1	1	51	78010-020	Rua Baltazar Navarros		305	-15.599627774626176	-56.09035502824172
112	1	1	2		Rua Tenente Alcides Duarte de Souza		500	-15.59170644228137	-56.1129230260849
113	1	1	5		Rua Comandante Costa		1768	-15.602915976123702	-56.10511243343353
114	1	1	35		Avenida São Sebastião		Não inform	-15.589081581680833	-56.101335883140564
115	1	1	5		Rua Comandante Costa		Não inform	-15.60519190948021	-56.10716700553894
116	1	1	18	78158-720	Avenida da Antarctica		690	-15.582018	-56.1198765
117	1	1	75		Avenida Itaparica		Não inform	-15.62865760852422	-56.05722427368164
118	1	1	84		Avenida São Sebastião		Não inform	-15.579165713041803	-56.09546184539795
119	1	1	79		Avenida Madri		Não inform	-15.57314568441952	-56.09567642211914
120	1	1	8		Rua Doutor Paulo Epaminondas Esq. c/ Rua Poxoréo		68	-15.581116371184746	-56.082801818847656
121	1	1	6		Rua Almirante Henrique Pinheiro Guedes com a Rua Major Otávio Pitaluga		Não inform	-15.587725218321118	-56.11408174037933
122	1	1	56		Ao lado do Shopping Pantanal, entrada pela Avenida Historiador Rubens de Mendonça		Não inform	-15.579289728945141	-56.07319951057434
123	1	1	6		Rua Almirante Henrique Pinheiro Guedes com a Rua Major Otávio Pitaluga		Não inform	-15.588285849595907	-56.114054918289185
124	1	1	54		Rua Professor Philogonio Correa com Rua Pedro Fernandes		s/n	-15.61961676124363	-56.06103837490082
125	1	1	75		Rua Antonio Dorileo		255	-15.629608165856954	-56.05942368507385
126	1	1	80		Avenida Governador Dante Martins de Oliveira		Não inform	-15.585826294568745	-56.05232119560242
127	1	1	55		Rua Comendador Henrique		978	-15.609392373973966	-56.0922110080719
128	1	1	11		Rua João Carlos Pereira Leite		418	-15.58681063682785	-56.09275013208389
129	1	1	37		Rodovia Emanoel Pinheiro		Não inform	-15.544247094177915	-56.084561347961426
130	1	1	37		Rodovia Emanoel Pinheiro		Não inform	-15.544412476765735	-56.084089279174805
131	1	1	11		Rua Tenente Eulálio Guerra		Não inform	-15.588544204506947	-56.09426021575928
132	1	1	6		Avenida São Sebastião		2150	-15.595914933190808	-56.10661178827286
133	1	1	16		Avenida Estevão de Mendonça esquina com a rua João Bento		1067	-15.588926569178834	-56.1047637462616
134	1	1	9		Av. do Cpa contorno leste		163 e 164	-15.57890217899871	-56.066129207611084
135	1	1	56		Rua Projetada, Gleba 04		Não inform	-15.578710987422587	-56.071879863739014
136	1	1	70		Rua Capitão Ipora esquina com rua Oswaldo Cruz		Não inform	-15.61158815450551	-56.08204007148743
137	1	1	28		Jardim Cuiabá		Não inform	-15.595266485026833	-56.11323952674866
138	1	1	7		Rua Y, fundos com a Av.I		200	-15.58395577292037	-56.08164310455322
139	1	1	64		Rua San Francisco, loteamento Jd. Luciana, Quadra F		400	-15.627818118080883	-56.06996476650238
140	1	1	2		Cursino do Amarante, próximo ao parque mae bonifácia		Não inform	-15.585394835976066	-56.10761761665344
141	1	1	55	78015-190	Rua Pimenta Bueno		901	-15.606609891668809	-56.09702469734496
142	1	2	85		Rua Barão de Melgaço		2290	-15.639402782243628	-56.08177185058594
143	1	1	78		Não informado		Não inform	-15.561534024057762	-56.08840763568878
144	1	1	83		Rodovia Palmiro Paes de Barros		Não inform	-15.646603799323678	-56.052144169807434
145	1	1	2		Rua Marechal Floriano Peixoto		s/n	-15.585919303487948	-56.11196279525757
146	1	1	75		Rua dos Bem-te-vis		255	-15.629949125564287	-56.04528307914734
147	1	1	160	78048-250	Avenida Doutor Hélio Ribeiro		195	-15.573930277546694	-56.076134890460196
148	1	1	83		Rodovia Palmiro Paes de Barros		Não inform	-15.65256485125114	-56.055389642715454
149	1	1	2		Duque de Caxias, Atrás do Big Lar ao Lado do Nicole		Não inform	-15.584053949894492	-56.10993504524231
150	1	1	2		Rua Almirante Henrique Guedes x Rua Gen. Maurício Cardoso		Não inform	-15.5874849473063	-56.11320734024048
151	1	1	26		Avenida Madri		Não inform	-15.574618411574617	-56.09446406364441
152	1	1	3		Avenida Haití		Não inform	-15.6105703485707	-56.075066328048706
153	1	1	2	78043-356	Rua Mestre Albertino		Não inform	-15.587878245845278	-56.10604509059907
154	1	1	37		Rod. Arq. Helder Cãndia		Não inform	-15.544309112663914	-56.08193278312683
155	1	1	37		Rod. Arq. Helder Cãndia		Não inform	-15.542541578495884	-56.081299781799316
156	1	1	37		Rod. Arq. Helder Cãndia		Não inform	-15.545001651155713	-56.08401417732239
157	1	1	37		Rod. Arq. Helder Cãndia		Não inform	-15.542252156251477	-56.081106662750244
158	1	1	37		Rod. Arq. Helder Cãndia		Não inform	-15.545218714979833	-56.08237266540527
159	1	1	35		Rua Estevão de Mendonça		Não inform	-15.584697266274467	-56.10086917877197
160	1	2	86		Rua Goiás		Não inform	-15.657287868775487	-56.14420645329551
161	1	2	87		alameda		Não inform	-15.618511167402882	-56.10534310340881
162	1	2	86		Rua Goiás		525	-15.65866002795635	-56.14408493041992
163	1	1	20		Rua Alfenas		233	-15.58128172413621	-56.11227124929428
164	1	1	37		Rodovia Arquiteto Helder Candia		Não inform	-15.554169814373693	-56.09761029481888
165	1	1	28		Rua General Ramiro de Noronha		Não inform	-15.591541097721966	-56.116275787353516
166	1	1	20	78040-660	Rua Patos de Minas		199	-15.5806776	-56.1135499
167	1	2	85		Endereço teste		Numero tes	-15.552815804688207	-56.05329215526581
168	1	1	35		Rua Presidente Afonso Penna		27	-15.586622036182904	-56.10126078128815
169	1	1	38		Avenida Miguel Sutil		6322	-15.57847328953937	-56.098803877830505
170	1	1	37		Rodovia Helder Cândia, Km 04		Não inform	-15.533269528066513	-56.109044551849365
171	1	1	6	78020-600	Avenida Senador Metello		1584	-15.6120799	-56.1022303
172	1	1	74	78050-402	Rua K		333	-15.580141171560514	-56.068991124629974
173	1	1	18		Rua Peru, esquina com Rua Brasil		Não inform	-15.583601818703082	-56.11602634191513
174	1	1	8		Luis Beltran Makawa		123	-0	-0
